0 1 2
1064324016314482688 15 2016
1064322744312053760 14918 140817
1064279801563947008 0 24
1063957821648187395 71 5544
1063957292327014400 30 3164
1063954974122627072 7475 103060
1063570520912904198 5 690
1063544390826815488 243 6777
1063509111168487425 116 6073
1063507643329859584 25818 104188
1063498091888869377 2 196
1063460459850928129 4627 35144
1063243027186102272 8 523
1063242600734486534 8396 88308
1063106232981037060 7 202
1062869852128468992 25751 175425
1062761090428350467 1 95
1062760954977550339 19 1507
1062759037115207681 10 1062
1062754608840429568 20 1486
1062752297422348288 10659 96479
1062586307384406016 0 32
1062505006140719104 20 2491
1062496616949669893 39 3576
1062495960746655744 1 692
1062495907139215361 5 882
1062495089883299840 15298 132289
1062332791306833920 13 635
1061786619634765824 3 388
1061786106260152320 8572 91364
1061435743120384000 88 2114
1061435549586722816 9 270
1061410017461579776 0 45
1061407128894824448 0 31
1061383030718296064 1 46
1061382825688076288 5 559
1061382266889355264 8926 89367
1061104844889620480 3 92
1061078453448069120 0 124
1060986230635200517 0 12
1060981590061408257 5 136
1060980745018204160 34 2535
1060978943413702656 5 1206
1060976534356406273 4994 37135
1060961769475186688 3 352
1060696863622471680 3 1132
1060696745649278976 1 34
1060695774588231681 5 1194
1060695329669025792 37551 213167
1060355937075163136 6 1534
1060354223290941440 14049 129915
1060285844093878274 0 227
1060280284208345088 6 733
1060220842536251392 10835 105954
1060002124623478784 8 419
1059658430804320256 106 825
1059626008834392064 23731 97729
1059583251830976513 41 1438
1059581705013616641 252421 0
1059563132484534273 5 149
1059508337044262912 8298 81202
1059494852864425986 0 95
1059234287009099776 17055 134638
1059218568401903621 0 9
1059177169124057091 0 11
1059170829043412999 0 30
1059165410438901762 173 0
1059160599567982592 0 26
1058922028055609344 5 114
1058921438223237121 1344 8055
1058778594745442305 1 51
1058777421623820300 8456 85504
1058430534081228801 3 294
1058426862161092610 4 674
1058423611034386432 6854 67897
1058186145467691009 18 744
1057802957876588544 9264 76555
1057777840257675265 0 8
1057774137236688897 0 57
1057769189103013889 8064 70647
1057668882528432134 24574 112796
1057468022582136833 1 37
1057459281866436611 26 1425
1057458418812895232 8 583
1057451441575682054 20 1210
1057439619535552512 14 1816
1057437984289681408 11 1548
1057437226186014720 18115 122378
1057338850287202314 0 42
1057050093520486401 0 20
1057045652901752833 0 162
1057031370239668225 3 127
1057024208167813120 7 608
1057023736753270786 2 94
1057021125899603968 2 215
1057018284728496129 3 383
1057012781520568320 15 353
1057007932968099840 40 2236
1056986080837156864 294 5094
1056761141672665088 32 3325
1056719583770402816 7 1653
1056712707078946816 47063 278711
1056621283260096512 2 186
1056615039870746624 6 828
1056613859748769793 9 1005
1056612914583367680 18253 146107
1056552578236919808 0 97
1056357432861966336 0 2
1056355859373088768 10 1343
1056311753171070981 2 258
1056310126255034368 6585 66067
1056264082213355520 5 49
1056262300301058048 423 0
1056022867417038848 1 437
1055995350966689792 1 392
1055986236299431936 0 90
1055985780647063554 10 1014
1055985345341251584 5522 42644
1055840010560106496 0 8
1055620196809887744 13849 107029
1055504992877056001 0 7
1055215215657152512 13 1183
1055214603313938433 28729 222539
1055207320018243584 0 6
1055144338995310594 0 11
1054938156716486656 41 2116
1054871961954852864 422 0
1054826863925886976 9 1266
1054805000071888896 8 892
1054768453259800576 23 1129
1054767619876810760 9326 88747
1054460314677403648 19 1856
1054457354606010368 16 2884
1054431020194455552 2 570
1054428373043294208 23 1500
1054408186340478978 1 652
1054405887882919936 0 39
1054404664387649540 86 5969
1054404072164548611 174278 690162
1054360498211377152 0 75
1054057928880242688 40 1903
1053872228075556864 0 10
1053824799481438209 1 130
1053785959341400066 0 30
1053758301924745216 0 8
1053728268531261441 0 133
1053721250995019777 4 868
1053720976234549250 5478 70386
1053666852579278848 117229 0
1053385698898837504 0 14
1053369999618908161 0 195
